IDLocator,L_Route,L_Dir,L_Lane,L_Section
9466,3973_5-B-21 - Al Faya Inte,5,1,134350
9467,633_6-B-20B-Al Nahda(East),6,1,133740
9468,3973_5-B-39A-B - Al Mafraq,5,1,133180
9469,4935_6-B-32A - Mufraq Truc,6,2,233720
9470,4935_5-2-B-32A - Mufraq Tr,5,1,134930
9471,9726_5-B-32A - Mufraq Truc,5,1,133830
9472,9726_6-B-32A - Mufraq Truc,6,1,135080
9473,4935_5-2-B-32A - Mufraq Tr,5,1,134920
9474,9726_5-B-39A-B - Al Mafraq,5,1,135070
9475,9726_5-B-32A - Mufraq Truc,5,1,135050
9476,9726_5-B-32A - Mufraq Truc,5,2,233830
9477,9726_5-B-39A-B - Al Mafraq,5,1,133840
9478,3973_5-B-39A-B - Al Mafraq,5,2,233180
9479,3974_6-B-39A-A - Al Mafraq,6,1,133390
9480,3973_5-1-B-13C-B (Intercha,5,1,134240
9481,3811_5-Bridge B-12C-4-Ramp,5,2,233070
9482,3973_5-1-B-13C-B (Intercha,5,2,234240
9483,3973_5-2-B-13C-B (Intercha,5,1,133160
9484,3811_6-Ramp1,6,2,234220
9485,119_5_Ramp1,5,1,132840
9486,119_6-Ramp1,6,1,132850
9487,119_5-Ramp2,5,2,232800
9488,119_5-Ramp5,5,1,134050
9489,119_5-Ramp5,5,2,234050
9490,119_5-23,5,1,132780
9491,119_5-23,5,2,232780
9492,3974_5-Vehicle Underpass U,5,1,134570
9493,9730_5-4,5,1,136680
9494,9730_5-Ramp4,5,1,135160
9495,6591_5-RAMP1,5,1,133770
9496,9730_6-8,6,1,135830
9497,3974_6-1-D1.2 (2A)-Ramp5,6,1,133300
9498,119_6-Ramp1,6,2,232850
9499,4476_5-1,5,1,133660
9500,4476_6-1,6,1,134860
9501,4476_6-2,6,1,133680
9502,4476_5-2,5,2,234830
9503,4476_5-2,5,1,134830
9504,4476_6-2,6,3,333680
9505,4476_5-2,5,3,334830
9506,4476_6-3,6,1,136350
9507,4476_6-4,6,1,136360
9508,4476_6-5,6,1,135540
9509,4476_6-6,6,1,136370
9510,4476_6-7,6,1,136380
9511,3974_6-1-B-24A Al Shwamekh,6,1,134580
9512,3974_6-1-B-24A Al Shwamekh,6,2,234580
9513,3974_5-Vehicle Underpass U,5,2,234570
9514,4929_5,5,3,137927
9515,4929_6,6,3,137257
9516,4929_6,6,2,137255
9517,4929_5,5,2,137925
9518,6742_5,5,1,138080
9519,6742_6,6,1,137380
9520,6742_5,5,2,138085
9521,6742_6,6,2,137385
9522,6703_6,6,1,137360
9523,6703_5,5,1,138040
9524,6703_6,6,2,137365
9525,6703_5,5,2,138045
9526,6703_6,6,3,137367
9527,6703_5,5,3,138047
9528,6703_5-1_1,5,1,151400
9529,6703_5-1_2,5,1,151440
9530,6703_5-10_1,5,1,151570
9531,6703_5-4,5,1,151450
9532,6703_5-5_1,5,1,151470
9533,6703_5-9,5,1,138070
9534,6703_6-2,5,1,151390
9535,2807-1,5,1,137690
9536,2807-2,5,1,137120
9537,2807-3,5,1,137700
9538,2807-4,5,1,137710
9539,2807-5,5,1,137130
9540,2807-RAB1,5,1,137750
9541,2807-1,5,2,137695
9542,2807-RAB1,5,2,137755
9543,2807_5-1,5,2,137795
9544,2807_5-2,5,2,137805
9545,2807_6-3,6,2,137185
9546,2807_5-4,6,2,137825
9547,2807_6-4,5,1,137830
9548,2807-RAB5,5,1,137150
9549,2807_5-3,5,1,137810
9550,2807_6-1,6,1,137160
9551,2807_6-2,6,1,137170
9552,2807-6,5,2,137725
9553,2807-7,5,2,137145
9554,2807-8,5,2,137735
9555,2807-RAB5,5,2,137155
9556,2807-RAB2,5,1,137760
9557,2807-RAB2,5,2,137765
9558,2807-RAB3,5,1,137770
9559,2807-RAB3,5,2,137775
9560,2807-RAB4,5,1,137780
9561,2807-RAB4,5,2,137785
9562,2807_5-4,6,3,137827
9563,2807_5-3,5,2,137815
9564,2807_6-4,5,2,137835
9565,2807_6-2,6,2,137175
9566,2807_6-1,6,2,137165
9567,2582,5,1,137600
9568,2582_6-6,6,1,136970
9569,123-RAB1,5,1,136800
9570,123-RAB1,5,2,136805
9571,123-RAB2,5,1,137500
9572,123_6,6,1,136810
9573,123-RAB2,5,2,137505
9574,2582_5-6,5,1,137620
9575,2582,5,2,137605
9576,2582_6-6,6,2,136975
9577,2582_5-6,5,2,137625
9578,2582,5,3,137607
9579,2582_6-6,6,3,136977
9580,2582_5-6,5,3,137627
9581,122-RAB3,5,1,137470
9582,122_5,5,1,137480
9583,122_6,6,1,136790
9584,122-RAB3,5,2,137475
9585,123_5,5,1,137510
9586,123_6,6,2,136815
9587,123_5,5,2,137515
9588,122_6,6,2,136795
9589,122-RAB1,5,1,137450
9590,122-RAB1,5,2,137455
9591,122-RAB2,5,1,137460
9592,122-RAB2,5,2,137465
9593,122_5,5,2,137485
9594,150,5,1,137530
