rsection,rbeg_chg,rend_chg,rlength,rdir,BEGLAT,BEGLONG,ENDLAT,ENDLONG,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10
628642,0,0.1,0.1,5,0.430553708,0.95552231,0.430566683,0.955532146,8904_1,5,2,628642,,,,,,
628642,0.1,0.329,0.229,5,0.430566683,0.955532146,0.430596314,0.955554737,8904_2,5,2,628642,,,,,,
628642,0.329,0.47,0.141,5,0.430596314,0.955554737,0.430614562,0.955568561,8904_3,5,2,628642,,,,,,
628642,0.47,0.56,0.09,5,0.430614562,0.955568561,0.430626252,0.955577408,8904_4,5,2,628642,,,,,,
628642,0.56,0.694,0.134,5,0.430626252,0.955577408,0.430643598,0.955590563,8904_5,5,2,628642,,,,,,
628642,0.694,0.925,0.231,5,0.430643598,0.955590563,0.430673496,0.955613199,8904_6,5,2,628642,,,,,,
628642,0.925,1.155,0.23,5,0.430673496,0.955613199,0.43070323,0.955635738,8904_7,5,2,628642,,,,,,
628642,1.155,1.289,0.134,5,0.43070323,0.955635738,0.430720649,0.955648894,8904_8,5,2,628642,,,,,,
628642,1.289,1.519,0.23,5,0.430720649,0.955648894,0.430750501,0.955671415,8904_9,5,2,628642,,,,,,
628642,1.519,1.75,0.231,5,0.430750501,0.955671415,0.430780289,0.955694169,8904_10,5,2,628642,,,,,,
628643,0,0.1,0.1,5,0.430553708,0.95552231,0.430566683,0.955532146,8904_1,5,3,628643,,,,,,
628643,0.1,0.329,0.229,5,0.430566683,0.955532146,0.430596314,0.955554737,8904_2,5,3,628643,,,,,,
628643,0.329,0.47,0.141,5,0.430596314,0.955554737,0.430614562,0.955568561,8904_3,5,3,628643,,,,,,
628643,0.47,0.56,0.09,5,0.430614562,0.955568561,0.430626252,0.955577408,8904_4,5,3,628643,,,,,,
628643,0.56,0.694,0.134,5,0.430626252,0.955577408,0.430643598,0.955590563,8904_5,5,3,628643,,,,,,
628643,0.694,0.925,0.231,5,0.430643598,0.955590563,0.430673496,0.955613199,8904_6,5,3,628643,,,,,,
628643,0.925,1.155,0.23,5,0.430673496,0.955613199,0.43070323,0.955635738,8904_7,5,3,628643,,,,,,
628643,1.155,1.289,0.134,5,0.43070323,0.955635738,0.430720649,0.955648894,8904_8,5,3,628643,,,,,,
628643,1.289,1.519,0.23,5,0.430720649,0.955648894,0.430750501,0.955671415,8904_9,5,3,628643,,,,,,
628643,1.519,1.75,0.231,5,0.430750501,0.955671415,0.430780289,0.955694169,8904_10,5,3,628643,,,,,,
628644,0,0.1,0.1,5,0.430553708,0.95552231,0.430566683,0.955532146,8904_1,5,4,628644,,,,,,
628644,0.1,0.329,0.229,5,0.430566683,0.955532146,0.430596314,0.955554737,8904_2,5,4,628644,,,,,,
628644,0.329,0.47,0.141,5,0.430596314,0.955554737,0.430614562,0.955568561,8904_3,5,4,628644,,,,,,
628644,0.47,0.56,0.09,5,0.430614562,0.955568561,0.430626252,0.955577408,8904_4,5,4,628644,,,,,,
628644,0.56,0.694,0.134,5,0.430626252,0.955577408,0.430643598,0.955590563,8904_5,5,4,628644,,,,,,
628644,0.694,0.925,0.231,5,0.430643598,0.955590563,0.430673496,0.955613199,8904_6,5,4,628644,,,,,,
628644,0.925,1.155,0.23,5,0.430673496,0.955613199,0.43070323,0.955635738,8904_7,5,4,628644,,,,,,
628644,1.155,1.289,0.134,5,0.43070323,0.955635738,0.430720649,0.955648894,8904_8,5,4,628644,,,,,,
628644,1.289,1.519,0.23,5,0.430720649,0.955648894,0.430750501,0.955671415,8904_9,5,4,628644,,,,,,
628644,1.519,1.75,0.231,5,0.430750501,0.955671415,0.430780289,0.955694169,8904_10,5,4,628644,,,,,,
628670,0,0.102,0.102,5,0.430614562,0.955568561,0.43062375,0.955554046,8905_1,5,1,628670,,,,,,
628670,0.102,0.188,0.086,5,0.43062375,0.955554046,0.430631465,0.955541859,8905_2,5,1,628670,,,,,,
628672,0,0.102,0.102,5,0.430614562,0.955568561,0.43062375,0.955554046,8905_1,5,2,628672,,,,,,
628672,0.102,0.188,0.086,5,0.43062375,0.955554046,0.430631465,0.955541859,8905_2,5,2,628672,,,,,,
628673,0,0.102,0.102,5,0.430614562,0.955568561,0.43062375,0.955554046,8905_1,5,3,628673,,,,,,
628673,0.102,0.188,0.086,5,0.43062375,0.955554046,0.430631465,0.955541859,8905_2,5,3,628673,,,,,,
628674,0,0.102,0.102,5,0.430614562,0.955568561,0.43062375,0.955554046,8905_1,5,4,628674,,,,,,
628674,0.102,0.188,0.086,5,0.43062375,0.955554046,0.430631465,0.955541859,8905_2,5,4,628674,,,,,,
628680,0,0.23,0.23,5,0.430575822,0.95551771,0.430605622,0.955540302,8907_1,5,1,628680,,,,,,
628680,0.23,0.37,0.14,5,0.430605622,0.955540302,0.43062375,0.955554046,8907_2,5,1,628680,,,,,,
628680,0.37,0.417,0.047,5,0.43062375,0.955554046,0.430629825,0.955558652,8907_3,5,1,628680,,,,,,
628682,0,0.23,0.23,5,0.430575822,0.95551771,0.430605622,0.955540302,8907_1,5,2,628682,,,,,,
628682,0.23,0.37,0.14,5,0.430605622,0.955540302,0.43062375,0.955554046,8907_2,5,2,628682,,,,,,
628682,0.37,0.417,0.047,5,0.43062375,0.955554046,0.430629825,0.955558652,8907_3,5,2,628682,,,,,,
628683,0,0.23,0.23,5,0.430575822,0.95551771,0.430605622,0.955540302,8907_1,5,3,628683,,,,,,
628683,0.23,0.37,0.14,5,0.430605622,0.955540302,0.43062375,0.955554046,8907_2,5,3,628683,,,,,,
628683,0.37,0.417,0.047,5,0.43062375,0.955554046,0.430629825,0.955558652,8907_3,5,3,628683,,,,,,
628684,0,0.23,0.23,5,0.430575822,0.95551771,0.430605622,0.955540302,8907_1,5,4,628684,,,,,,
628684,0.23,0.37,0.14,5,0.430605622,0.955540302,0.43062375,0.955554046,8907_2,5,4,628684,,,,,,
628684,0.37,0.417,0.047,5,0.43062375,0.955554046,0.430629825,0.955558652,8907_3,5,4,628684,,,,,,
628690,0,0.282,0.282,5,0.430553708,0.95552231,0.430583536,0.955505523,8909_1,5,1,628690,,,,,,
628690,0.282,0.512,0.23,5,0.430583536,0.955505523,0.430613337,0.955528115,8909_2,5,1,628690,,,,,,
628690,0.512,0.652,0.14,5,0.430613337,0.955528115,0.430631465,0.955541859,8909_3,5,1,628690,,,,,,
628690,0.652,0.699,0.047,5,0.430631465,0.955541859,0.430637539,0.955546465,8909_4,5,1,628690,,,,,,
628692,0,0.282,0.282,5,0.430553708,0.95552231,0.430583536,0.955505523,8909_1,5,2,628692,,,,,,
628692,0.282,0.512,0.23,5,0.430583536,0.955505523,0.430613337,0.955528115,8909_2,5,2,628692,,,,,,
628692,0.512,0.652,0.14,5,0.430613337,0.955528115,0.430631465,0.955541859,8909_3,5,2,628692,,,,,,
628692,0.652,0.699,0.047,5,0.430631465,0.955541859,0.430637539,0.955546465,8909_4,5,2,628692,,,,,,
628693,0,0.282,0.282,5,0.430553708,0.95552231,0.430583536,0.955505523,8909_1,5,3,628693,,,,,,
628693,0.282,0.512,0.23,5,0.430583536,0.955505523,0.430613337,0.955528115,8909_2,5,3,628693,,,,,,
628693,0.512,0.652,0.14,5,0.430613337,0.955528115,0.430631465,0.955541859,8909_3,5,3,628693,,,,,,
628693,0.652,0.699,0.047,5,0.430631465,0.955541859,0.430637539,0.955546465,8909_4,5,3,628693,,,,,,
628694,0,0.282,0.282,5,0.430553708,0.95552231,0.430583536,0.955505523,8909_1,5,4,628694,,,,,,
628694,0.282,0.512,0.23,5,0.430583536,0.955505523,0.430613337,0.955528115,8909_2,5,4,628694,,,,,,
628694,0.512,0.652,0.14,5,0.430613337,0.955528115,0.430631465,0.955541859,8909_3,5,4,628694,,,,,,
628694,0.652,0.699,0.047,5,0.430631465,0.955541859,0.430637539,0.955546465,8909_4,5,4,628694,,,,,,
629930,0,0.412,0.412,5,0.430715843,0.955788261,0.430662551,0.955747768,9766_1,5,1,629930,,,,,,
629930,0.412,0.538,0.126,5,0.430662551,0.955747768,0.430646265,0.955735421,9766_2,5,1,629930,,,,,,
